"stagegroupclinical","clinicalT","clinicalN","ClinicalM","nccn_stage_2017"
,"c3","c1","c0",3
,"cX","c0","c0","u"
0,"cX","c0","c0","u"
0,"cX","c1",,"u"
0,"pIS","c0",,0
0,"pIS","c0","c0",0
1,"c1","c0","c0",1
1,"c1A","c0","c0",1
1,"c1B","c0","c0",1
1,"c1B","c1","c0",2
1,"c2","c0","c0",2
1,"cX","c0","c1",4
1,"cX","c1","c0","u"
"1A",,,,1
"1A","c1","c0","c0",1
"1A","c1A","c0","c0",1
"1A","c1B","c0",,1
"1A","c1B","c0","c0",1
"1A","c2","c0","c0",2
"1B","c1","c0","c0",1
"1B","c1","c1","c0",2
"1B","c1A","c0","c0",1
"1B","c1B","c0","c0",1
"1B","c1B","c1","c0",2
"1B","c2","c0",,2
"1B","c2","c0","c0",2
"1B","c2A","c0","c0",2
"1B","c2B","c0","c0",2
"1B","c3","c0","c0",3
"1B","c3","c1","c0",3
"1B","cX","c0","c0","u"
"1B","pIS","c0","c0",0
2,"c1","c1","c0",2
2,"c2","c0","c0",2
2,"c2","c1","c0",3
2,"c2","cX","c0","u"
2,"c2A","c0","c0",2
2,"c2A","c1","c0",3
2,"c2B","c1","c0",3
2,"c3","c0","c0",3
2,"c3","c1","c0",3
2,"cX","c1","c0","u"
"2A","c1","c0","c0",1
"2A","c1","c1","c0",2
"2A","c1B","c1","c0",2
"2A","c2","c0","c0",2
"2A","c2","c1","c0",3
"2A","c3","c0",,"u"
"2A","c3","c0","c0",3
"2A","c3","c1","c0",3
"2A","cX","c0","c0","u"
"2A","cX","c2","c0",4
"2B",,,,"u"
"2B","c1","c1",,2
"2B","c1","c1","c0",2
"2B","c1A","c1","c0",2
"2B","c1B","c1","c0",2
"2B","c2","c0",,2
"2B","c2","c0","c0",2
"2B","c2","c1",,"u"
"2B","c2","c1","c0",3
"2B","c2","c2","c0",4
"2B","c3","c0",,"u"
"2B","c3","c0","c0",3
"2B","c3","c1",,"u"
"2B","c3","c1","c0",3
"2B","c3","c2","c0",4
"2B","cX","c1","c0","u"
"2B","cX","c3","c0",4
3,"c1A","c2","c0",4
3,"c1B","c2","c0",4
3,"c2","c1","c0",3
3,"c2","c2","c0",4
3,"c3","c0","c0",3
3,"c3","c1",,"u"
3,"c3","c1","c0",3
3,"c3","c2","c0",4
3,"c3","c3","c0",4
3,"c3","cX","c0","u"
3,"c4","c0","c0","3 or 4"
3,"c4","c1","c0","3 or 4"
3,"c4","cX","c0","u"
3,"c4A","c0","c0",3
3,"c4B","c1","c0",4
3,"cX","c1","c0","u"
3,"cX","c2","c0",4
"3A",,,,"u"
"3A",,"c2","c0",4
"3A","c1","c2","c0",4
"3A","c1A","c2","c0",4
"3A","c1B","c2","c0",4
"3A","c2","c1","c0",3
"3A","c2","c2","c0",4
"3A","c2A","c2","c0",4
"3A","c2B","c2","c0",4
"3A","c3","c0","c0",3
"3A","c3","c1",,"u"
"3A","c3","c1","c0",3
"3A","c3","c2","c0",4
"3A","c3","cX","c0","u"
"3A","c4","c0","c0","3 or 4"
"3A","c4","c1","c0","3 or 4"
"3A","c4A","c0","c0",3
"3A","c4A","c1","c0",3
"3A","c4A","c2","c0",4
"3A","c4B","c0","c0",4
"3A","c4B","c0","c1",4
"3A","cX","c1","c0","u"
"3B","c3","c1","c0",3
"3B","c3","c2",,4
"3B","c3","c2","c0",4
"3B","c3","c3","c0",4
"3B","c4A","c2","c0",4
"3B","c4B","c0","c0",4
"3B","c4B","c1","c0",4
"3C",,"c3","c0",4
"3C","c1","c3","c0",4
"3C","c1A","c3","c0",4
"3C","c1B","c3","c0",4
"3C","c2","c3","c0",4
"3C","c3","c1","c0",3
"3C","c3","c3","c0",4
"3C","c4","c1",,"u"
"3C","c4","c1","c0",3
"3C","c4","c2","c0",4
"3C","c4","c3","c0",4
"3C","c4A","c1","c0",3
"3C","c4A","c2","c0",4
"3C","c4A","c3","c0",4
"3C","c4B","c0","c0",4
"3C","c4B","c1","c0",4
"3C","c4B","c2","c0",4
"3C","c4B","c3","c0",4
"3C","c4B","cX","c0",4
"3C","cX","c3","c0",4
4,,,,"u"
4,,,"c1",4
4,,"c0","c1",4
4,,"c1","c1",4
4,,"c1","p1",4
4,,"c2","c1",4
4,"c0","c0","c1",4
4,"c0","c1","c1",4
4,"c1","c0","c1",4
4,"c1","c1","c1",4
4,"c1","c2","c1",4
4,"c1","c3","c1",4
4,"c1","cX","c1",4
4,"c1A","c0","c1",4
4,"c1A","c1","c1",4
4,"c1A","c2","c1",4
4,"c1A","c3","c1",4
4,"c1A","cX","c1",4
4,"c1B","c0","c1",4
4,"c1B","c1","c1",4
4,"c1B","c2","c1",4
4,"c1B","c3","c1",4
4,"c1B","cX","c1",4
4,"c2","c0","c1",4
4,"c2","c0","p1",4
4,"c2","c1","c1",4
4,"c2","c1","p1",4
4,"c2","c2","c1",4
4,"c2","c3","c1",4
4,"c2","cX","c1",4
4,"c2A","c0","c1",4
4,"c2A","c1","c1",4
4,"c2A","c2","c1",4
4,"c2A","c3","c0",4
4,"c2B","c0","c1",4
4,"c2B","c1","c1",4
4,"c2B","c2","c1",4
4,"c2B","cX","c1",4
4,"c3","c0","c1",4
4,"c3","c0","c1B",4
4,"c3","c0","p1",4
4,"c3","c1","c1",4
4,"c3","c1","p1",4
4,"c3","c2","c1",4
4,"c3","c2","p1",4
4,"c3","c3","c0",4
4,"c3","c3","c1",4
4,"c3","c3","p1",4
4,"c3","cX","c1",4
4,"c4","c0","c1",4
4,"c4","c1","c0","3 or 4"
4,"c4","c1","c1",4
4,"c4","c2","c1",4
4,"c4","c3","c1",4
4,"c4","cX","c1",4
4,"c4A","c0","c0",3
4,"c4A","c0","c1",4
4,"c4A","c1","c1",4
4,"c4A","c2","c1",4
4,"c4A","c3","c1",4
4,"c4A","cX","c1",4
4,"c4B","c0","c0",4
4,"c4B","c0","c1",4
4,"c4B","c1","c1",4
4,"c4B","c2","c1",4
4,"c4B","c3","c1",4
4,"c4B","cX","c1",4
4,"cX","c0","c1",4
4,"cX","c0","p1",4
4,"cX","c1","c1",4
4,"cX","c1","p1",4
4,"cX","c2","c1",4
4,"cX","c3","c1",4
4,"cX","c3","p1",4
4,"cX","cX",,"u"
4,"cX","cX","c1",4
4,"cX","cX","c1B",4
4,"cX","cX","p1",4
"4A","c1","c3","c0",4
"4A","c1","cX","c1A",4
"4A","c2","c0","c1A",4
"4A","c2","c1","c1A",4
"4A","c2","c2","c0",4
"4A","c3","c0","c0",3
"4A","c3","c0","c1A",4
"4A","c3","c1","c1A",4
"4A","c3","c2","c0",4
"4A","c3","c2","c1",4
"4A","c3","c3","c0",4
"4A","c3","cX","c1A",4
"4A","c4","c0","c1A",4
"4A","c4","c1","c1A",4
"4A","c4","cX","c1A",4
"4A","c4A","c2","c0",4
"4A","c4A","c2","c1",4
"4A","cX","c0","c1A",4
"4A","cX","c1","c1A",4
"4A","cX","cX","c1A",4
"4B","c1","c0","c1B",4
"4B","c1","c1","c1B",4
"4B","c1A","c1","c1",4
"4B","c2","c0","c1",4
"4B","c2","c0","c1B",4
"4B","c2","c1","c1B",4
"4B","c2","c2","c1",4
"4B","c3","c0","c1",4
"4B","c3","c0","c1B",4
"4B","c3","c1","c1",4
"4B","c3","c1","c1B",4
"4B","c3","c1","p1",4
"4B","c3","c2","c1",4
"4B","c3","c2","p1",4
"4B","c3","cX","c1B",4
"4B","c4","c0","c1B",4
"4B","c4","c1","c1B",4
"4B","c4","cX","c1B",4
"4B","cX","c0","c1",4
"4B","cX","c0","c1B",4
"4B","cX","c1",,"u"
"4B","cX","c1","c1",4
"4B","cX","c1","c1B",4
"4B","cX","c2","c1",4
"4B","cX","cX","c1",4
"4B","cX","cX","c1B",4
88,88,88,88,"u"
99,,,,"u"
99,,,"c0","u"
99,,,"c1",4
99,,"c0","c0","u"
99,,"c1","c0","u"
99,,"c2","c0",4
99,"c0","c0",,"u"
99,"c0","c0","c0","u"
99,"c0","c1","c0","u"
99,"c1","c0",,"u"
99,"c1","c0","c0",1
99,"c1","c0","cX","u"
99,"c1","c2","c0",4
99,"c1","cX",,"u"
99,"c1","cX","c0","u"
99,"c1","cX","cX","u"
99,"c1A","c0",,"u"
99,"c1A","c0","c0",1
99,"c1A","cX","c0","u"
99,"c1B","c0","c0",1
99,"c1B","cX","c0","u"
99,"c2","c0","c0",2
99,"c2","c0","cX","u"
99,"c2","c1",,"u"
99,"c2","cX","c0","u"
99,"c2","cX","cX","u"
99,"c2A","cX","cX","u"
99,"c2B","c0","cX","u"
99,"c3","c0",,"u"
99,"c3","c0","c0",3
99,"c3","c0","cX","u"
99,"c3","c1",,"u"
99,"c3","c1","c0",3
99,"c3","c1","cX","u"
99,"c3","c2",,4
99,"c3","cX","c0","u"
99,"c3","cX","cX","u"
99,"c4","c0","c0","u"
99,"c4","c0","cX","u"
99,"c4","c1",,"u"
99,"c4","c1","c0","u"
99,"c4","c1","cX","u"
99,"c4","c2","c0",4
99,"c4","cX",,"u"
99,"c4","cX","c0","u"
99,"c4","cX","cX","u"
99,"c4A","c0","c0",3
99,"c4A","c1","c0",3
99,"c4A","c2","c0",4
99,"cX","c0",,"u"
99,"cX","c0","c0","u"
99,"cX","c0","c1",4
99,"cX","c0","cX","u"
99,"cX","c1",,"u"
99,"cX","c1","c0","u"
99,"cX","c1","c1",4
99,"cX","c1","cX","u"
99,"cX","c2",,4
99,"cX","c2","c0",4
99,"cX","c3","c0",4
99,"cX","c3A","c0",4
99,"cX","cX",,"u"
99,"cX","cX","c0","u"
99,"cX","cX","cX","u"
99,"pIS","c0","c0",0
99,"pIS","c1","c0","u"
99,"pIS","cX","c0","u"
